code,species,laboratory_species,Ciprofloxacin,Cefepime,Meropenem,Piperacillin-Tazobactam,Cotrimoxazole,Ceftazidime,Levofloxacin,Colistin,Tobramycin,Ceftriaxone,Imipenem,Amikacin,Tigecycline,Clindamycin,Amoxicillin-Clavulanic acid,Amoxicillin,Posaconazole,Itraconazole,Voriconazole,Caspofungin,Amphotericin B,Penicillin,Vancomycin,Ertapenem,Metronidazole,Moxifloxacin,Rifampicin,Erythromycin,Fluconazole,Anidulafungin,5-Fluorocytosine,Micafungin,Ampicillin-Amoxicillin,Norfloxacin,Fosfomycin-Trometamol,Cefpodoxime,Chloramphenicol,Aminoglycosides,Quinolones,Daptomycin,Teicoplanin,Linezolid,Gentamicin,Gentamicin_high_level,Nitrofurantoin,Cefuroxime,Meropenem_without_meningitis,Meropenem_with_meningitis,Fosfomycin,Aztreonam,Cefazolin,Tetracycline,Fusidic acid,Oxacillin,Clarithromycin,Isoniazid_.1mg-l,Streptomycin,Rifampicin_1mg-l,Ethambutol_5mg-l,Pyrazinamide,Azithromycin,Cefixime,Doxycycline,Mupirocin,Vancomycin_GRD,Teicoplanin_GRD,Cefoxitin_screen,Ceftarolin,Ticarcillin-Clavulan acid,Penicillin_with_endokarditis,Penicillin_without_meningitis,Penicillin_without_endokarditis,Penicillin_with_pneumonia,Penicillin_with_other_infections,Penicillin_with_meningitis,Meropenem_with_pneumonia,Minocycline,Cefuroxime.1,Amoxicillin-Clavulanic acid_uncomplicated_HWI,Ceftazidime-Avibactam,Ceftolozane-Tazobactam,Ampicillin-Sulbactam,Ceftobiprole,Bacitracin,Isoniazid_.4mg-l,Strepomycin_high_level,Isavuconazole
170f67d7-f78c-4eb5-acec-12ed36079535_MALDI1,MIX!Achromobacter xylosoxidans,Achromobacter xylosoxidans,I,R,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,,,-,,,,,,-,,-
b1a72483-3ba9-432e-aecb-46ee551f0485_MALDI1,MIX!Haemophilus influenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c6e9bdd-bc40-4c34-a0ee-6772fa4781bb_MALDI1,MIX!Haemophilus parainfluenzae,Haemophilus parainfluenzae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,,-,-,-,-,-,,,-,-,-,,-,,,-,
96efe12e-bde3-4736-803a-195c59ca20f0_MALDI1,MIX!Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a39b8b4-c18f-4093-85c8-4049352d237e_MALDI1,MIX!Staphylococcus epidermidis,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f7615b3-4cea-4795-a43f-2e73de6f8f4d_MALDI1,MIX!Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,R,R,S,-,-,-,-,R,R,-,S,R,R,-,-,-,-,-,-,R,S,-,-,-,S,R,-,-,-,-,R,-,-,-,-,-,-,S,-,S,R,-,-,R,-,-,,-,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,-,,,-,,,,,,-,,-
eb8df17c-7c7f-4e5f-a988-49bb4f55cee0_MALDI1,MIX!Veillonella parvula,Veillonella species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589e018a-673b-4327-8dc2-1aeb06ba02ac_MALDI1,MIX!Salmonella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54d3da21-6f9f-4c70-97e5-2a812f9cbf08_MALDI1,MIX!Staphylococcus cohnii,Staphylococcus aureus,S,S,S,S,S,-,-,-,-,S,S,-,S,S,S,-,-,-,-,-,-,R,S,-,-,-,S,S,-,-,-,-,R,-,-,-,-,-,-,S,S,S,S,-,-,S,-,-,-,-,S,S,R,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
0b1a89ef-bd24-48d4-80a6-164faff89925_MALDI1,MIX!Streptococcus pyogenes,Streptococcus pyogenes (Serogruppe A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8170ac7c-f300-45be-802d-7f8184a688b0_MALDI1,MIX!Corynebacterium striatum,Corynebacterium striatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0858e3-f8fa-4858-8b7d-9397bd402489_MALDI1,MIX!Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221c447-83b7-477a-b3ef-5c982c6f56c9_MALDI1,MIX!Enterobacter asburiae,Enterobacter cloacae-Gruppe,S,S,S,R,S,R,S,S,S,R,S,S,-,-,R,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
e29f2926-f442-43ab-bcb7-901295536b56_MALDI1,MIX!Pandoraea pulmonicola,Pandoraea species (),R,R,R,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
0925d272-b1ee-4ccd-aecb-d95c760f460a_MALDI1,MIX!Enterobacter cloacae,Enterobacter cloacae-Gruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0392205-820f-43e6-9e76-59a41e08f1a8_MALDI1,MIX!Aeromonas eucrenophila,Aeromonas species,S,S,-,S,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,,-,-,-,-,-,,,-,-,-,,-,,,-,
fef9b3cd-c478-4062-823b-b86f22508cb2_MALDI1,MIX!Klebsiella pneumoniae,Klebsiella pneumoniae,S,S,S,S,S,S,S,S,S,S,S,S,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,,-,-,-,-,-,,,-,-,-,,-,,,-,
1e52c0ca-c091-4917-b10f-c635be8e2d5e_MALDI1,MIX!Streptococcus parasanguinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a11efe0-7965-4589-ba62-dd17d3658dea_MALDI1,MIX!Bacillus altitudinis,Bacillus pumilus,-,-,-,-,-,-,S,-,-,-,-,-,-,R,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,,-,-,-,,-,,,,-
2c370b6c-583b-47e1-93a5-0ce3cec15ae9_MALDI1,MIX!Bacillus pumilus,Bacillus pumilus,-,-,-,-,-,-,S,-,-,-,-,-,-,R,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,,-,-,-,,-,,,,-
6c45fae1-5490-4e63-9e85-97ee48160f46_MALDI1,MIX!Neisseria flavescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72c5dab3-5361-40b5-a6e2-cd75eb5cc992_MALDI1,MIX!Neisseria macacae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aea5c1a-005d-4ab9-bd12-470067ca5ea1_MALDI1,MIX!Actinomyces neuii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0b50a0f-96ce-41b9-a216-5cfe0932b1ec_MALDI1,MIX!Staphylococcus hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21e0028d-9508-4729-87c4-853493a45e40_MALDI1,MIX!Staphylococcus hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65056790-78fa-4b95-a9f0-bfba2b667954_MALDI1,MIX!Fusobacterium nucleatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f928adc-01d9-4061-98fd-154c857a4211_MALDI1,MIX!Prevotella melaninogenica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0403c7d3-bbd5-4c4b-b4a5-5184a2c5631e_MALDI1,MIX!Enterobacter aerogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f10099-b297-4861-bf76-077f2980fc82_MALDI1,MIX!Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1ca3aa7-2158-41b6-bb3d-6cac84ae6af6_MALDI1,MIX!Neisseria subflava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0653947a-40de-44fb-bc6d-5ef7414acd08_MALDI1,MIX!Microbacterium paraoxydans,Microbacterium species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a65413c0-3e27-45ff-8404-cf791d84d22e_MALDI1,MIX!Microbacterium paraoxydans,Microbacterium species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52e1ed6a-9527-428a-8ba7-e57a5a27f3eb_MALDI1,MIX!Neisseria macacae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88572304-a77b-41c1-9607-713722e6fad3_MALDI1,MIX!Neisseria mucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073c6d70-7f0a-4597-b6b5-ad48c12677d3_MALDI1,MIX!Neisseria mucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e3ddc3e-47bd-40bf-8bf6-c35b0902e702_MALDI1,MIX!Haemophilus parainfluenzae,Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a177a3e-204d-4cb9-a3e2-9575ceaf6403_MALDI1,MIX!Bifidobacterium breve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d159f1c-16f0-40d7-9bba-3431ae538d52_MALDI1,MIX!Acinetobacter baumannii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3b0a9ed-a1bd-436c-9a75-201653caa852_MALDI1,MIX!Parabacteroides distasonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244c4e31-3044-4e3e-8530-5c280fbafdac_MALDI1,MIX!Bacteroides ovatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a17814e-c815-4894-976a-dd0040ce10b6_MALDI1,MIX!Enterococcus faecalis,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2ea2d43-8624-47d2-b903-de6927ad3320_MALDI1,MIX!Staphylococcus epidermidis,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75053603-9e18-4305-b53b-67e9f5f6a0ef_MALDI1,MIX!Corynebacterium simulans,Corynebacterium simulans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e456a2dd-a659-4a1f-84c4-0e9512163104_MALDI1,MIX!Streptococcus pyogenes,Streptococcus pyogenes (Serogruppe A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4cc0077-4a4f-4aa9-a2ff-2970e3fb07a8_MALDI1,MIX!Gardnerella vaginalis,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a205c9d6-efd1-49ba-8435-113e684235c9_MALDI1,MIX!Gardnerella vaginalis,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3abc8af6-050c-4556-9e2d-3e1920352c66_MALDI1,MIX!Haemophilus haemolyticus,Haemophilus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8894517d-fc41-4c7c-9335-916c63b002e3_MALDI1,MIX!Corynebacterium sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3917c98d-13b9-4075-93ef-92e6e58ffb46_MALDI1,MIX!Gardnerella vaginalis,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116e2c6d-3fa9-47c1-8b0b-6eb9da3dd713_MALDI1,MIX!Acinetobacter pittii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a57ce87f-426a-44c1-87d7-3baf61adbcc9_MALDI1,MIX!Neisseria subflava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e48646e-36a9-45a8-bdc4-6430b0e6f82f_MALDI1,MIX!Actinomyces neuii,Actinomyces neuii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b558571c-bfdd-44c3-9699-bf0488c8aa2e_MALDI1,MIX!Brevibacterium sanguinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fdd1c99-b8e8-43bb-81e4-522a268bed88_MALDI1,MIX!Brevibacterium celere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168eb215-15c8-4411-9cba-15f5d397f72d_MALDI1,MIX!Gardnerella vaginalis,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15e8e217-35e2-46e4-a16a-98ad25722555_MALDI1,MIX!Corynebacterium aurimucosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56069704-e371-4a50-b273-f306c88500ae_MALDI1,MIX!Klebsiella oxytoca,Klebsiella oxytoca,S,S,S,S,S,S,S,S,S,S,S,S,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
e2346a31-7f99-4aa9-b46e-e1f9683f97db_MALDI1,MIX!Streptococcus pyogenes,Streptococcus pyogenes (Serogruppe A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2157d8d-e761-45f8-8143-11069cd1fdcc_MALDI1,MIX!Staphylococcus aureus,Staphylococcus aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a71d4d2-64fe-4bf2-b8fe-61e03808b234_MALDI1,MIX!Enterobacter cloacae,Enterobacter cloacae-Gruppe,S,S,S,R,S,R,S,S,S,R,S,S,-,-,R,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
5ef96f32-2e56-4987-9eb0-3db784b998a2_MALDI1,MIX!Streptococcus parasanguinis,Streptococcus parasanguinis (S. mitis-Gruppe),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
4426ab91-4a4a-4300-afb5-7035548368c9_MALDI1,MIX!Enterobacter cloacae,Enterobacter cloacae-Gruppe,S,S,S,R,S,R,S,S,S,R,S,S,-,-,R,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
f18b6605-c8fc-4dec-8ca8-2c65dd12fedc_MALDI1,MIX!Candida dubliniensis,Candida dubliniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e255d34-dde3-4ef4-abc1-9746d0cf8378_MALDI1,MIX!Olsenella uli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158567dd-5d4f-432c-81ed-5e3f3316c551_MALDI1,MIX!Klebsiella pneumoniae,Klebsiella pneumoniae,S,S,S,S,S,S,S,S,S,S,S,S,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
c6d15dc2-00f3-4e2d-9324-dfa963ebad7f_MALDI1,MIX!Streptococcus oralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce639f20-e7e5-44f6-b75b-e2d9b5c3fa08_MALDI1,MIX!Neisseria subflava,Neisseria subflava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bb095ad-7b6a-49a6-8db1-bc696141d36f_MALDI1,MIX!Gardnerella vaginalis,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e53b0c2e-d1a5-415b-acff-79f55428bfa5_MALDI1,MIX!Lactobacillus gasseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c4dd4c7-46a4-4e88-8875-2491e9707f31_MALDI1,MIX!Achromobacter insolitus,Achromobacter xylosoxidans,I,R,S,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
803bf730-12aa-4cc6-8d8c-c54250416e40_MALDI1,MIX!Actinomyces neuii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4aa900a1-5e1b-4f6c-9aee-026d6223154f_MALDI1,MIX!Streptococcus agalactiae,Streptococcus agalactiae (Serogruppe B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f15fc905-e6da-440f-b2f6-57d1b55eb856_MALDI1,MIX!Streptococcus pneumoniae,"Streptococcus mitis-Gruppe, nicht S. pneumoniae",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
fcab9f9b-dcff-429c-990d-d1353f6df257_MALDI1,MIX!Enterococcus avium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71f2407f-1293-49d3-99e4-94db19bf91df_MALDI1,MIX!Enterobacter cloacae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64a969f8-4b59-413f-9945-3b946b0f1fd6_MALDI1,MIX!Lactobacillus iners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e57afaa-9f7e-45c6-9255-b1709052da8e_MALDI1,MIX!Staphylococcus capitis,Staphylococcus capitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093ffbbf-0889-49ae-a3c2-e58a723817e9_MALDI1,MIX!Microbacterium oxydans,Microbacterium species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7c84f59-b010-4dfe-beff-3320efe7aece_MALDI1,MIX!Staphylococcus capitis,Staphylococcus capitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599b4e3d-c43e-4d40-8ac8-070414975042_MALDI1,MIX!Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6677f905-bbda-4cfa-a3a8-25b1b10d4e6f_MALDI1,MIX!Lactobacillus paracasei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f98b4315-b543-4246-bfc4-523f1d154d97_MALDI1,MIX!Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
